name,img
إسبانيا,teams_images/إسبانيا.png
أستراليا,teams_images/أستراليا.png
الأرجنتين,teams_images/الأرجنتين.png
البرازيل,teams_images/البرازيل.png
السعودية,teams_images/السعودية.png
المغرب,teams_images/المغرب.png
المكسيك,teams_images/المكسيك.png
النرويج,teams_images/النرويج.png
الولايات المتحدة,teams_images/الولايات المتحدة.png
اليابان,teams_images/اليابان.png
أوكرانيا,teams_images/أوكرانيا.png
إيطاليا,teams_images/إيطاليا.png
باراغواي,teams_images/باراغواي.png
بنما,teams_images/بنما.png
تشيلي,teams_images/تشيلي.png
جنوب أفريقيا,teams_images/جنوب أفريقيا.png
فرنسا,teams_images/فرنسا.png
كاليدونيا الجديدة,teams_images/كاليدونيا الجديدة.png
كاليدونيا الجديدة,teams_images/كاليدونيا الجديدة.png
كوبا,teams_images/كوبا.png
كوريا الجنوبية,teams_images/كوريا الجنوبية.png
كولومبيا,teams_images/كولومبيا.png
مصر,teams_images/مصر.png
نيجيريا,teams_images/نيجيريا.png
نيوزيلندا,teams_images/نيوزيلندا.png
